Laps,Time,Distance,Cumulative Time,Moving Time,Total Ascent,Total Descent,Avg Speed,Avg Moving Speed,Max Speed,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg W/kg,Avg Stride Length,Max W/kg,Min Temp,Max Temp,Avg Temp,Calories
1,08:15.6,1,08:15.6,5:35,1,8,7.3,10.7,17.5,101,128,26,128,--,4.62,--,24,28,26,65
2,11:08,1,19:23,6:11,3,12,5.4,9.7,18.7,99,125,11,121,--,8.49,--,23,24,23,75
3,08:01.5,1,27:25:00,4:39,16,3,7.5,12.9,19.2,102,134,41,155,--,3.03,--,22,23,23,58
4,04:51.4,1,32:16:00,4:39,16,5,12.4,12.9,20.1,111,140,77,125,--,2.67,--,21,22,22,40
5,05:57.5,1,38:14:00,5:29,28,7,10.1,10.9,23.9,112,133,44,126,--,3.84,--,21,21,21,50
6,15:28,1,53:41:00,4:03,26,10,3.9,14.8,28.5,102,149,10,158,--,6.61,--,21,25,24,95
7,05:26.9,1,59:08:00,4:31,13,11,11,13.3,24,117,147,28,118,--,6.58,--,22,24,23,47
8,02:32.8,1,1:01:41,02:32.8,2,49,23.6,23.6,45.6,99,110,8,147,--,51.18,--,22,22,22,11
9,05:07.7,1,1:06:49,4:11,13,29,11.7,14.3,33.9,101,115,18,144,--,10.75,--,21,22,21,25
10,05:12.6,1,1:12:01,4:38,18,17,11.5,12.9,33.2,98,116,19,155,--,9.97,--,22,22,22,21
11,05:31.1,1,1:17:33,3:37,8,14,10.9,16.6,33.2,95,110,14,111,--,13.1,--,22,23,22,22
12,04:42.0,1,1:22:15,04:42.0,24,11,12.8,12.8,28.5,117,140,33,192,--,6.5,--,22,22,22,42
13,07:18.3,1,1:29:33,5:36,34,0,8.2,10.7,21.1,128,144,24,150,--,5.73,--,22,22,22,82
14,11:18,1,1:40:51,7:04,55,1,5.3,8.5,18.6,129,160,31,158,--,2.9,--,22,23,22,114
15,05:09.3,1,1:46:00,4:33,20,10,11.6,13.2,27,124,160,27,153,--,7.09,--,22,23,23,44
16,03:42.7,1,1:49:43,3:22,0,22,16.2,17.8,25.9,108,116,38,115,--,7.08,--,22,22,22,14
17,06:24.5,1,1:56:07,5:55,28,6,9.4,10.1,25,128,151,46,151,--,3.42,--,21,22,21,64
18,04:10.0,1,2:00:17,3:51,9,24,14.4,15.6,30.2,123,142,41,142,--,5.85,--,21,21,21,35
19,06:48.7,1,2:07:06,3:31,0,39,8.8,17.1,31.2,103,123,12,159,--,11.95,--,20,21,21,21
20,03:51.1,1,2:10:57,3:51,3,22,15.6,15.6,25.8,108,118,68,112,--,3.81,--,19,20,20,16
21,03:48.4,1,2:14:46,3:48,0,18,15.8,15.8,19.5,114,125,65,113,--,4.04,--,19,19,19,22
22,06:51.3,1,2:21:37,4:47,17,1,8.8,12.5,17.2,120,149,62,119,--,2.34,--,19,21,20,53
23,05:15.8,1,2:26:53,5:04,20,0,11.4,11.8,16.4,134,148,80,112,--,2.39,--,20,21,21,63
24,08:16.9,1,2:35:09,5:33,22,7,7.2,10.8,29.3,124,154,24,118,--,5.14,--,21,24,22,70
25,03:27.5,1,2:38:37,03:27.5,9,14,17.3,17.3,29.4,115,130,47,113,--,6.22,--,24,24,24,17
26,02:50.1,1,2:41:27,2:49,2,29,21.2,21.3,34,110,129,36,116,--,9.87,--,23,24,24,12
27,04:57.5,0.75,2:46:25,3:28,10,11,9.1,13,27.5,110,143,28,113,--,5.48,--,23,25,23,21
Summary,2:46:25,26.75,2:46:25,2:01:27,396,381,9.6,13.2,45.6,112,160,32,192,,6.69,,19,28,22.3,"1,199"
